mode,emotion,precision,recall,f1_score,support
mode_1,Angry,0.4546899841017488,0.37681159420289856,0.41210374639769454,759
mode_1,Happy,0.41767068273092367,0.24673784104389088,0.31021625652498136,843
mode_1,Sad,0.5798816568047337,0.12311557788944724,0.20310880829015543,796
mode_2,Angry,0.4194560669456067,0.52832674571805,0.46763848396501456,759
mode_2,Happy,0.38854073410922113,0.5148279952550415,0.44285714285714284,843
mode_2,Sad,0.5538461538461539,0.22613065326633167,0.32114183764495985,796
