scope,n_samples,n_classes_present,chance_level,accuracy,macro_f1,weighted_f1
keseluruhan,697,7,0.14285714285714285,0.7847919655667145,0.7881514077244324,0.7879575229580339
ravdess,156,7,0.14285714285714285,0.4807692307692308,0.4842977701447405,0.4959104191302333
savee,120,7,0.14285714285714285,0.43333333333333335,0.3624523346327858,0.3940688697267644
tess,421,7,0.14285714285714285,0.997624703087886,0.9976188822636493,0.9976245381252559
rata-rata antar korpus,697,7,0.14285714285714285,0.6372424223968167,0.6147896623470586,0.6292012756607512
