mode,n_samples,n_classes_scored,chance_accuracy,chance_macro_f1,accuracy,macro_f1,weighted_f1,outside_target_ratio,seed
mode_1,2398,3,0.14285714285714285,0.19992256402921868,0.22518765638031693,0.3002228411033641,0.3001256951519855,0.5154295246038365,42
mode_2,2398,3,0.3333333333333333,0.33317960078889036,0.4395329441201001,0.43129883910002254,0.43188083581402237,0.0,42
mode_1,2398,3,0.14285714285714285,0.19992256402921868,0.21267723102585487,0.2811314746818429,0.2769405020072015,0.5221017514595496,43
mode_2,2398,3,0.3333333333333333,0.33317960078889036,0.4153461217681401,0.41619417423108523,0.4132927660903211,0.0,43
mode_1,2398,3,0.14285714285714285,0.19992256402921868,0.23394495412844038,0.27749212475729634,0.27579990530544446,0.4424520433694746,44
mode_2,2398,3,0.3333333333333333,0.33317960078889036,0.3978315262718932,0.36985046740727007,0.37033199880154793,0.0,44
mode_1,2398,3,0.14285714285714285,0.19992256402921868,0.2468723936613845,0.3084762704042771,0.3069114508612899,0.45954962468723937,45
mode_2,2398,3,0.3333333333333333,0.33317960078889036,0.4232693911592994,0.4105458214890391,0.41029819996805905,0.0,45
mode_1,2398,3,0.14285714285714285,0.19992256402921868,0.24186822351959966,0.27238862278101117,0.27029245877285396,0.44662218515429525,46
mode_2,2398,3,0.3333333333333333,0.33317960078889036,0.4090909090909091,0.36610074418977795,0.36612399602984874,0.0,46
