scope,n_samples,n_classes_present,chance_level,accuracy,macro_f1,weighted_f1
keseluruhan,697,7,0.14285714285714285,0.7991391678622669,0.8003524510748635,0.8004633078664518
ravdess,156,7,0.14285714285714285,0.46794871794871795,0.4726523234123915,0.47148674228651544
savee,120,7,0.14285714285714285,0.5333333333333333,0.47201509940046416,0.5045625077500541
tess,421,7,0.14285714285714285,0.997624703087886,0.9976188822636493,0.9976245381252559
rata-rata antar korpus,697,7,0.14285714285714285,0.6663022514566458,0.647428768358835,0.6578912627206085
