scope,n_samples,n_classes_present,chance_level,accuracy,macro_f1,weighted_f1
keseluruhan,697,7,0.14285714285714285,0.8005738880918221,0.8001546962850398,0.8004289516158295
ravdess,156,7,0.14285714285714285,0.5192307692307693,0.4980695215820221,0.5021945275156819
savee,120,7,0.14285714285714285,0.4666666666666667,0.3960650285093516,0.44377912216790494
tess,421,7,0.14285714285714285,1.0,1.0,1.0
rata-rata antar korpus,697,7,0.14285714285714285,0.661965811965812,0.6313781833637913,0.6486578832278623
