epoch,accuracy,learning_rate,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
0,0.4635036587715149,0.0010000000474974513,1.4855549335479736,0.46134254336357117,0.2074074000120163,3.060865879058838,0.13434971868991852
1,0.741605818271637,0.0010000000474974513,0.7213724851608276,0.7417435050010681,0.45370370149612427,1.709205150604248,0.4161631464958191
2,0.819343090057373,0.0010000000474974513,0.5369912981987,0.8195491433143616,0.8018518686294556,0.5299916863441467,0.8002347350120544
3,0.8405109643936157,0.0010000000474974513,0.44402796030044556,0.8412777781486511,0.8166666626930237,0.49584898352622986,0.8216671347618103
4,0.8624087572097778,0.0010000000474974513,0.3901081085205078,0.863459050655365,0.8111110925674438,0.5067899227142334,0.8155074715614319
5,0.8768247961997986,0.0010000000474974513,0.3468613028526306,0.8774972558021545,0.6499999761581421,1.0713269710540771,0.6136967539787292
6,0.8839415907859802,0.0010000000474974513,0.32336607575416565,0.8847856521606445,0.8277778029441833,0.44958099722862244,0.8351849317550659
7,0.8981751799583435,0.0010000000474974513,0.28527599573135376,0.8993244171142578,0.8481481671333313,0.4010457396507263,0.8524109721183777
8,0.8985401391983032,0.0010000000474974513,0.2784174680709839,0.8990485072135925,0.8444444537162781,0.399203896522522,0.8475280404090881
9,0.9025547504425049,0.0010000000474974513,0.259219229221344,0.9030466675758362,0.7907407283782959,0.523375928401947,0.7944836020469666
10,0.910401463508606,0.0010000000474974513,0.25235283374786377,0.9106796979904175,0.8388888835906982,0.43435996770858765,0.8443464636802673
11,0.9135036468505859,0.0010000000474974513,0.23096410930156708,0.9138956069946289,0.8574073910713196,0.3579145669937134,0.8569931387901306
12,0.9215328693389893,0.0010000000474974513,0.21697965264320374,0.9217926263809204,0.8203703761100769,0.5122817754745483,0.8220903277397156
13,0.9273722767829895,0.0010000000474974513,0.2038014829158783,0.927557647228241,0.8277778029441833,0.5306849479675293,0.8282347917556763
14,0.9268248081207275,0.0010000000474974513,0.19930392503738403,0.9269812703132629,0.8444444537162781,0.42907294631004333,0.8499279618263245
15,0.9348540306091309,0.0010000000474974513,0.18235789239406586,0.9350733160972595,0.855555534362793,0.3822571337223053,0.8582696914672852
16,0.935401439666748,0.0010000000474974513,0.17900513112545013,0.9355263113975525,0.8592592477798462,0.3645823001861572,0.860864520072937
17,0.9434306621551514,0.0010000000474974513,0.1636548638343811,0.9434658885002136,0.8777777552604675,0.3259548544883728,0.8776009678840637
18,0.9410583972930908,0.0010000000474974513,0.15192750096321106,0.9411577582359314,0.835185170173645,0.5028671622276306,0.8373076319694519
19,0.9432481527328491,0.0010000000474974513,0.14935974776744843,0.9435552954673767,0.8333333134651184,0.4638111889362335,0.8354515433311462
20,0.9487226009368896,0.0010000000474974513,0.14153911173343658,0.9486754536628723,0.8518518805503845,0.469179630279541,0.8542556166648865
21,0.9523722529411316,0.0010000000474974513,0.12968434393405914,0.9524198174476624,0.8296296000480652,0.5627446174621582,0.8347746729850769
22,0.9543795585632324,0.0010000000474974513,0.12083739042282104,0.9543984532356262,0.8870370388031006,0.3338293433189392,0.8866010308265686
23,0.9576642513275146,0.0010000000474974513,0.12078151106834412,0.9577382802963257,0.8777777552604675,0.4901169240474701,0.8796773552894592
24,0.965146005153656,0.0010000000474974513,0.10807853937149048,0.9651790857315063,0.8925926089286804,0.30264151096343994,0.8916087746620178
25,0.9622262716293335,0.0010000000474974513,0.10761938244104385,0.9621834754943848,0.8574073910713196,0.4454660713672638,0.8583320379257202
26,0.9636861085891724,0.0010000000474974513,0.10166697204113007,0.9636002779006958,0.8500000238418579,0.5753962993621826,0.8547955751419067
27,0.9704379439353943,0.0010000000474974513,0.09112223237752914,0.9704062342643738,0.8666666746139526,0.43669694662094116,0.8683914542198181
28,0.9684306383132935,0.0010000000474974513,0.09024891257286072,0.9685357213020325,0.8759258985519409,0.3870382308959961,0.8753283619880676
29,0.9724452495574951,0.0010000000474974513,0.0809989795088768,0.9725525975227356,0.8685185313224792,0.3686549961566925,0.8671513795852661
30,0.9802919626235962,0.0005000000237487257,0.05673910677433014,0.9803224205970764,0.8814814686775208,0.36526796221733093,0.8800377249717712
31,0.9837591052055359,0.0005000000237487257,0.05367651581764221,0.9837755560874939,0.8814814686775208,0.35830870270729065,0.881768524646759
32,0.9819343090057373,0.0005000000237487257,0.0506577305495739,0.9819452166557312,0.8796296119689941,0.3438922166824341,0.87844318151474
33,0.9866788387298584,0.0005000000237487257,0.039737068116664886,0.9866902232170105,0.885185182094574,0.3444453179836273,0.8854318261146545
34,0.9870437979698181,0.0005000000237487257,0.03856492042541504,0.9870572686195374,0.8722222447395325,0.415977418422699,0.8716410398483276
35,0.9877737164497375,0.0002500000118743628,0.03619734197854996,0.9878207445144653,0.8814814686775208,0.3733733594417572,0.8807511925697327
36,0.9901459813117981,0.0002500000118743628,0.0325227715075016,0.9901808500289917,0.8685185313224792,0.46871477365493774,0.8685320615768433
