emotion,precision,recall,f1_score,support
Angry,0.0,0.0,0.0,400
Disgust,0.5836065573770491,0.445,0.5049645390070922,400
Fear,0.0678191489361702,0.1275,0.08854166666666667,400
Happy,0.5862068965517241,0.0425,0.07925407925407925,400
Neutral,0.08630952380952381,0.0725,0.07880434782608696,400
Sad,0.4358974358974359,0.2125,0.2857142857142857,400
Surprise,0.3025064822817632,0.875,0.449582530507386,400
