scope,n_samples,n_classes_present,chance_level,accuracy,macro_f1,weighted_f1
keseluruhan,697,7,0.14285714285714285,0.7733142037302726,0.7754469833182167,0.7754728859168883
ravdess,156,7,0.14285714285714285,0.4358974358974359,0.43747546309262625,0.4442043448689822
savee,120,7,0.14285714285714285,0.4166666666666667,0.3490259345455952,0.38434506114844846
tess,421,7,0.14285714285714285,1.0,1.0,1.0
rata-rata antar korpus,697,7,0.14285714285714285,0.6175213675213675,0.5955004658794071,0.6095164686724769
