scope,n_samples,n_classes_present,chance_level,accuracy,macro_f1,weighted_f1
keseluruhan,697,7,0.14285714285714285,0.7991391678622669,0.7983875249053379,0.7986700587516148
ravdess,156,7,0.14285714285714285,0.44871794871794873,0.43765181164561967,0.44221130651233065
savee,120,7,0.14285714285714285,0.5583333333333333,0.48189201079866967,0.5298644646727165
tess,421,7,0.14285714285714285,0.997624703087886,0.9976380796220928,0.9976243785272639
rata-rata antar korpus,697,7,0.14285714285714285,0.6682253283797227,0.6390606340221274,0.6565667165707704
