epoch,accuracy,learning_rate,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
0,0.31891974806785583,0.0010000000474974513,1.8657565116882324,0.3181428611278534,0.26433122158050537,2.4143078327178955,0.152290478348732
1,0.5376209616661072,0.0010000000474974513,1.288159966468811,0.5378315448760986,0.5414012670516968,1.5182026624679565,0.5280070900917053
2,0.6230096817016602,0.0010000000474974513,1.0309228897094727,0.623205304145813,0.6576433181762695,0.9711286425590515,0.6715054512023926
3,0.6706212759017944,0.0010000000474974513,0.9017524719238281,0.6703404784202576,0.7197452187538147,0.7834082841873169,0.7265239357948303
4,0.7068373560905457,0.0010000000474974513,0.8152843117713928,0.7062815427780151,0.7611464858055115,0.6222155094146729,0.7618860006332397
5,0.7216671705245972,0.0010000000474974513,0.768500804901123,0.721356987953186,0.7515923380851746,0.6432231068611145,0.7600463032722473
6,0.7402434945106506,0.0010000000474974513,0.7125179767608643,0.7398882508277893,0.756369411945343,0.6836983561515808,0.7562836408615112
7,0.7494536638259888,0.0010000000474974513,0.6770675778388977,0.7492591142654419,0.756369411945343,0.597906231880188,0.7603400349617004
8,0.7716203331947327,0.0010000000474974513,0.6223399639129639,0.7713016867637634,0.7977706789970398,0.5323573350906372,0.8013848662376404
9,0.7798938751220703,0.0010000000474974513,0.5933164954185486,0.7795723676681519,0.7945860028266907,0.5820369124412537,0.802817165851593
10,0.7895722985267639,0.0010000000474974513,0.5643893480300903,0.7894005179405212,0.7754777073860168,0.5996084809303284,0.7812380194664001
11,0.8029971718788147,0.0010000000474974513,0.5313989520072937,0.8026908040046692,0.7993630766868591,0.5481239557266235,0.8022103905677795
12,0.8228223323822021,0.0010000000474974513,0.5027450919151306,0.8226159811019897,0.7929936051368713,0.6014741063117981,0.7978757619857788
13,0.8232906460762024,0.0010000000474974513,0.48208364844322205,0.8232473731040955,0.7834395170211792,0.6131907105445862,0.7847245335578918
14,0.8314080834388733,0.0010000000474974513,0.45627516508102417,0.8312687277793884,0.7786624431610107,0.6336103677749634,0.7822166085243225
15,0.8543552756309509,0.0005000000237487257,0.39881232380867004,0.8542045950889587,0.7707006335258484,0.6120598316192627,0.7711633443832397
16,0.8719950318336487,0.0005000000237487257,0.36266177892684937,0.871874213218689,0.75,0.76382976770401,0.753422200679779
17,0.8765220046043396,0.0005000000237487257,0.3477148413658142,0.8764159083366394,0.7595541477203369,0.7590569257736206,0.7663201093673706
18,0.8847954869270325,0.0005000000237487257,0.3186861276626587,0.8849100470542908,0.7643312215805054,0.8217774629592896,0.7706851959228516
19,0.8918201923370361,0.0005000000237487257,0.2997699975967407,0.891914963722229,0.7929936051368713,0.6101130843162537,0.7970500588417053
20,0.9066500067710876,0.0002500000118743628,0.26761823892593384,0.9066494107246399,0.8057324886322021,0.5904024839401245,0.8076899647712708
21,0.9108648300170898,0.0002500000118743628,0.2572990953922272,0.9109640121459961,0.8041401505470276,0.6285891532897949,0.8067553639411926
22,0.9128941893577576,0.0002500000118743628,0.2451196312904358,0.9129511117935181,0.7977706789970398,0.6615774631500244,0.8001346588134766
23,0.9169528484344482,0.0002500000118743628,0.2315748780965805,0.916973888874054,0.7977706789970398,0.6445947885513306,0.7996943593025208
24,0.9255385398864746,0.0002500000118743628,0.21148018538951874,0.9256200790405273,0.8105095624923706,0.6658447980880737,0.8142961859703064
25,0.9281923174858093,0.0002500000118743628,0.20340986549854279,0.9282743334770203,0.7945860028266907,0.663364827632904,0.7977222204208374
26,0.9294411540031433,0.0002500000118743628,0.20130117237567902,0.929497241973877,0.8009554147720337,0.6903279423713684,0.8064562678337097
27,0.9367780089378357,0.0002500000118743628,0.1848437488079071,0.9368557333946228,0.7961783409118652,0.6877922415733337,0.8002601265907288
28,0.9397439956665039,0.0002500000118743628,0.17647971212863922,0.9397709965705872,0.8057324886322021,0.6714015007019043,0.8077797889709473
29,0.9389634728431702,0.0002500000118743628,0.1772967278957367,0.9390450716018677,0.7961783409118652,0.6994072198867798,0.799838125705719
30,0.9464564323425293,0.0001250000059371814,0.15845949947834015,0.9464954137802124,0.8041401505470276,0.6980365514755249,0.8077840805053711
31,0.9489541053771973,0.0001250000059371814,0.15123818814754486,0.9490480422973633,0.8041401505470276,0.6984338164329529,0.8059192299842834
32,0.9576959013938904,0.0001250000059371814,0.13698071241378784,0.9577575922012329,0.8025477528572083,0.7046311497688293,0.8054951429367065
33,0.9520761966705322,0.0001250000059371814,0.14707572758197784,0.952113151550293,0.8136942386627197,0.6903188824653625,0.815612256526947
34,0.9536372423171997,0.0001250000059371814,0.14101016521453857,0.9536523818969727,0.8105095624923706,0.7077889442443848,0.8133069276809692
35,0.9575397968292236,0.0001250000059371814,0.12825821340084076,0.9575400948524475,0.8041401505470276,0.7344919443130493,0.8075923919677734
36,0.9566031694412231,0.0001250000059371814,0.12835465371608734,0.9566631317138672,0.8184713125228882,0.6923615336418152,0.8209656476974487
37,0.9584764242172241,0.0001250000059371814,0.12003394216299057,0.9584903717041016,0.8184713125228882,0.7354380488395691,0.820622444152832
38,0.9569153785705566,0.0001250000059371814,0.1235075369477272,0.9569684267044067,0.7961783409118652,0.7663992643356323,0.798787534236908
39,0.9628473520278931,0.0001250000059371814,0.11421064287424088,0.9628973603248596,0.8168789744377136,0.6941673755645752,0.8190225958824158
40,0.9631595611572266,0.0001250000059371814,0.10984447598457336,0.9631715416908264,0.8136942386627197,0.7214063405990601,0.815679669380188
41,0.9603496789932251,0.0001250000059371814,0.11447165161371231,0.9603687524795532,0.8057324886322021,0.723625659942627,0.8090257048606873
42,0.964876651763916,6.25000029685907e-05,0.10497226566076279,0.964879035949707,0.8184713125228882,0.7407153248786926,0.8205204010009766
43,0.9659693837165833,6.25000029685907e-05,0.10388997197151184,0.9660391211509705,0.8184713125228882,0.7212480902671814,0.8205481767654419
44,0.9700281023979187,6.25000029685907e-05,0.09536544233560562,0.9700608253479004,0.8152866363525391,0.746094286441803,0.8168047070503235
45,0.9631595611572266,6.25000029685907e-05,0.10032361000776291,0.9631636738777161,0.8136942386627197,0.7696670293807983,0.8166046738624573
46,0.9683109521865845,6.25000029685907e-05,0.09837066382169724,0.9683457016944885,0.8184713125228882,0.7224975228309631,0.820888340473175
47,0.9719013571739197,3.125000148429535e-05,0.09223879128694534,0.9719076156616211,0.8168789744377136,0.7920567989349365,0.8194957375526428
48,0.9726818799972534,3.125000148429535e-05,0.09080266952514648,0.972688615322113,0.8136942386627197,0.7596079111099243,0.8166212439537048
